2013/11/1,PM10,58,60,62,65,68,64,56,61,71,90,93,99,93,90,80,78,75,92,94,98,87,80,61,49
2013/11/1,PM2.5,42,44,48,41,42,35,40,38,48,54,63,64,67,58,50,42,37,47,39,39,27,27,17,21
2013/11/1,WIND_DIREC,18,39,76,21,25,27,29,66,132,306,195,212,245,230,270,16,38,301,27,31,293,27,36,23
2013/11/1,WIND_SPEED,0.7,0.5,0.8,0.7,1.4,1.2,0.7,1.1,0.8,0.9,1.3,1.6,2,1.9,1.7,2.1,1.4,1.5,1.4,1,1.7,1.2,0.9,1.5
2013/11/2,PM10,50,59,59,59,59,60,60,55,60,60,67,68,74,79,86,80,77,61,61,61,62,51,39,44
2013/11/2,PM2.5,21,27,21,28,32,34,34,31,33,39,47,49,49,53,62,47,35,19,24,22,22,17,19,18
2013/11/2,WIND_DIREC,45,28,29,47,7.9,42,273,33,44,34,199,41,50,317,24,21,351,36,32,32,13,26,29,27
2013/11/2,WIND_SPEED,1.3,1.5,1.3,1.4,1.4,0.5,0.7,1.6,2.1,1.2,0.7,0.9,0.9,1,2,2.8,2.1,2.2,2.4,2.6,1.9,1.2,1.4,1.4
2013/11/3,PM10,48,50,36,37,38,42,44,45,54,55,56,53,48,41,43,47,58,60,56,46,45,50,47,46
2013/11/3,PM2.5,17,18,15,12,10,7,19,19,30,27,36,31,30,29,25,29,28,33,30,21,22,27,32,23
2013/11/3,WIND_DIREC,17,23,32,7.8,29,36,27,33,40,46,0.6,15,9.9,39,9.7,35,355,37,34,32,31,40,34,28
2013/11/3,WIND_SPEED,1.3,0.8,0.5,0.8,1.1,1.2,1.4,1.6,1.9,1.7,1.8,2.3,1.8,2,2.3,3.7,3.8,3.5,3.2,2.2,2.3,1.9,1.7,1.9
2013/11/4,PM10,31,30,18,25,25,27,25,33,44,51,53,51,46,48,56,76,81,86,80,73,56,44,41,41
2013/11/4,PM2.5,17,10,19,15,12,8,11,18,19,19,17,25,29,32,28,28,31,36,32,34,35,33,23,21
2013/11/4,WIND_DIREC,21,43,31,35,36,42,27,28,42,36,38,25,21,24,338,23,34,32,23,17,16,26,3.9,27
2013/11/4,WIND_SPEED,2,2.7,2,1.5,1.5,2.1,1.4,2.2,1.2,1.1,1.9,2.2,1.6,1.9,2.3,2.6,2.7,2.6,2.2,1.7,1.5,1.8,1.6,1.7
2013/11/5,PM10,41,37,43,41,41,31,35,40,47,47,50,0,58,74,90,101,108,116,119,111,86,64,51,53
2013/11/5,PM2.5,16,20,17,29,27,24,19,23,25,25,30,0,23,40,47,67,67,70,73,60,52,34,32,27
2013/11/5,WIND_DIREC,32,30,40,33,31,35,20,35,29,94,47,78,341,19,33,7,24,27,26,7.8,12,11,26,21
2013/11/5,WIND_SPEED,0.9,1.8,0.7,1.3,1,0.8,1.6,1.2,1.5,0.8,1.2,1,2,2.7,1.7,2.1,1.8,1.9,1.2,1.6,1.7,1.4,0.8,1
2013/11/6,PM10,46,40,39,44,41,41,47,57,65,69,92,102,115,112,106,100,83,88,91,92,77,67,64,66
2013/11/6,PM2.5,29,27,27,30,29,25,25,28,37,42,55,63,78,69,67,52,53,49,52,49,44,41,47,52
2013/11/6,WIND_DIREC,27,28,57,26,42,42,178,54,342,27,15,5.7,8,21,354,11,45,35,26,36,29,15,37,15
2013/11/6,WIND_SPEED,0.8,0.7,0.4,0.6,0.8,0.4,0.6,0.4,1.4,2.1,1.8,2,1.7,2.6,2.6,3,3,2.8,2.5,2,1.3,1.9,1.2,1.5
2013/11/7,PM10,69,78,80,69,63,59,66,73,78,77,74,79,85,85,88,85,94,117,128,138,124,137,141,140
2013/11/7,PM2.5,53,47,45,39,41,38,41,39,44,42,48,47,64,58,60,53,59,56,60,71,81,85,77,77
2013/11/7,WIND_DIREC,35,33,22,35,19,31,36,355,353,26,307,233,256,255,222,134,313,12,31,253,198,189,203,212
